0,comp_name,position,requirements,salary
1,J*****d,BI-аналитик (junior),"Metabase, MySQL, Airflow, DBT, Docker, Python, A/B testing",80000
2,V*********p,Junior Python разработчик,"Python, API, SQL",30000
3,К*******п,Стажер в департамент IT,"Python, Git, English B1",0
4,И******************************ч,Стажер Python-разработчик,"Python, OOP, PyPDF2, OCR, re, Git and Github",20000
5,S****************e,Бизнес-аналитик стажёр,"Python, SQL, TeamWork, ВО",75000
6,V****************s,Junior Data Analyst,"Python, SQL, PowerBI, English B1, Math, ВО",0
7,М******д,QA Engineer (стажер),"API, Тестирование",40000
8,I*S,Младший инженер-тестировщик АФТ (Python),"Python, API, JSON, SQL, DevTools, Kibana, Pytest",0
9,Т************************ч,Python-разработчик (Junior),"Python, FastAPI, SQL, REST, Git",150000
10,Г*********************ч,Junior Backend-разработчик Django,"Python, Django, SQL, Restful API, Testing, Git, CI/CD",35000
11,M***********s,Младший специалист отдела разработки (Python) / Специалист по парсингу данных,"Python, OOP, Django, SQL, HTML, CSS, Unix OS ",70000
